#,Country,Stability,Rights,Health,Safety,Climate,Costs,Popularity,Total
1,San Marino,81,82,100,97,62,61,46,76
2,Australia,86,95,87,94,90,24,41,75
3,Hong Kong,81,82,100,99,49,60,52,75
4,Macao,89,69,100,98,48,65,50,74
5,Switzerland,91,99,93,99,35,42,40,73
6,Malta,88,69,91,99,75,39,43,72
7,Luxembourg,92,97,86,99,25,45,42,71
8,Singapore,82,89,79,100,45,53,42,71
9,Japan,86,88,92,99,54,29,41,71
10,Spain,65,73,87,93,74,41,68,71
11,Portugal,75,76,82,99,71,45,38,70
12,Germany,83,95,96,96,21,45,42,70
13,South Korea,84,77,92,89,56,41,41,69
14,Bermuda,90,78,86,81,69,34,35,69
15,Austria,82,90,96,99,27,37,43,69
16,New Zealand,90,100,81,97,36,29,36,69
17,Sweden,85,100,86,94,22,42,38,68
18,France,72,85,91,86,41,30,71,68
19,Norway,90,99,90,96,16,35,37,68
20,Finland,84,100,87,96,17,46,32,68
21,Canada,85,93,79,97,33,35,45,68
22,Cyprus,65,67,77,85,75,53,48,67
23,Denmark,84,100,84,99,17,35,41,67
24,Uruguay,74,82,70,80,78,42,28,67
25,Netherlands,81,99,83,95,21,40,36,66
26,Slovenia,77,72,83,99,40,56,32,66
27,United Arab Emirates,84,64,65,87,62,67,28,66
28,United States,67,83,69,68,66,34,71,66
29,Qatar,84,59,59,94,61,70,34,66
30,Croatia,66,59,78,96,50,68,38,64
31,Italy,65,66,87,91,57,31,59,64
32,Greece,55,63,87,87,70,44,45,64
33,Czechia,73,76,88,99,23,49,40,64
34,Iceland,83,94,87,100,7,37,33,64
35,Israel,56,75,83,69,81,34,30,63
36,Hungary,67,56,79,97,43,58,48,63
37,Belgium,71,88,90,94,20,32,40,63
38,Ireland,82,93,81,99,2,35,37,62
39,Poland,64,65,77,93,27,57,51,62
40,Estonia,72,90,78,90,17,42,26,61
41,Bulgaria,60,51,78,93,49,61,39,60
42,Chile,63,77,65,84,47,45,33,60
43,United Kingdom,74,90,77,91,6,34,43,60
44,Botswana,64,66,20,78,84,55,50,59
45,Saudi Arabia,62,45,64,77,55,74,46,59
46,Bahrain,62,47,63,82,63,71,28,59
47,Lithuania,69,78,82,88,20,44,22,59
48,Slovakia,66,67,74,94,35,41,33,58
49,Latvia,67,75,73,89,19,55,23,58
50,Romania,61,57,71,91,37,67,24,58
51,North Macedonia,49,48,68,89,58,65,36,58
52,Malaysia,72,56,58,95,44,45,44,58
53,Kuwait,73,45,72,90,31,72,25,58
